ΟΝΟΜΑ ΣΧΟΛΗΣ,Θέσεις_2024,Επιτυχόντες_2024,Κάλυψη_2024,Θέσεις_2025,Επιτυχόντες_2025,Κάλυψη_2025,Μόρια_Πρώτου_2024,Βάση_2024,Μόρια_Πρώτου_2025,Βάση_2025,Ιστοσελίδα Τμήματος
ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),149,149,100.0,149,148,99.32885906040269,15100,11475,16425,11250,https://ecec.ihu.gr/
"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ, ΑΡΧΕΙΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)",128,127,99.21875,128,127,99.21875,14075,9275,16950,9300,http://www.lisa.ihu.gr/
ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),235,132,56.17021276595745,235,157,66.80851063829788,18090,14365,16960,14240,https://www.bmsc.ihu.gr/
ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙ.ΠΑ.Ε.,214,204,95.32710280373831,214,132,61.6822429906542,14375,10800,14460,11040,https://www.agro.ihu.gr/
ΔΗΜΙΟΥΡΓΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ),162,130,80.24691358024691,162,153,94.44444444444444,15775,8325,16400,8650,https://cdc.ihu.gr/
ΔΙΟΙΚΗΣΗΣ ΕΦΟΔΙΑΣΤΙΚΗΣ ΑΛΥΣΙΔΑΣ (ΚΑΤΕΡΙΝΗ),195,192,98.46153846153847,195,191,97.94871794871794,15260,9520,14730,9660,https://logistics.ihu.gr/
"ΔΙΟΙΚΗΣΗΣ ΟΡΓΑΝΙΣΜΩΝ, ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΤΟΥΡΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)",342,339,99.12280701754386,342,337,98.53801169590643,16490,11630,17320,12170,https://ommt.ihu.gr/
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),133,130,97.74436090225564,133,129,96.99248120300751,14740,12760,15360,12650,https://www.food.ihu.gr/
ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),123,72,58.536585365853654,123,122,99.1869918699187,16760,14210,16610,13850,https://nutr.ihu.gr/el/
ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ (ΣΕΡΡΕΣ),126,124,98.4126984126984,126,124,98.4126984126984,19960,12550,18285,13545,https://ia.ihu.gr/
